======================================================================
  AGENCY  –  PER DOCUMENTO
======================================================================

Documento                                      Concept%  AuthID%  SrcAttr%  Impers%
SCSA_Bon_AS2_P86                                   46.3     12.2       0.0      7.3
SCSA_Bon_AS2_P87                                   69.1      3.6       0.0      7.3
SCSA_Bon_AS2_P88                                   37.8     35.6       0.0      8.9
SCSA_Bon_AS2_P89                                   61.8      1.8       5.5     14.6
SCSA_Bon_AS2_P90                                   62.2      2.2       8.9      2.2
SCSA_Bon_AS2_P91                                   47.7     26.1       4.6      1.5
SCSA_Bon_AS2_P92                                   60.0      3.5       2.4      8.2
SCSA_Bon_AS2_P93                                   39.8     26.5       1.2     14.5
SCSA_Bon_AS2_P94                                   63.5      3.9       5.8      9.6
SCSA_Bon_AS2_P95                                   62.0      3.8       6.3      1.3
SCSA_Bon_AS2_P96                                   59.3      5.8       4.7     15.1
SCSA_Bon_AS2_P97                                   47.6      2.4       7.1      9.5
